,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,2,,,3,1,
2,,,,,5,,,1,2,
3,,,,,3,,,1,5,
4,,,,,7,,,2,2,
5,,,,,1,,,4,3,
6,,,,,2,,,8,7,
7,,,,,3,,,5,3,
8,,,,,7,,,1,1,
9,,,,,3,,,3,1,
10,,,,,2,,,1,3,
11,,,,,4,,,4,3,
12,,,,,3,,,3,2,
13,,,,,1,,,6,2,
14,,,,,1,,,2,1,
15,,,,,2,,,1,2,
16,,,,,1,,,1,1,
17,,,,,7,,,2,7,
18,,,,,2,,,9,1,
19,,,,,1,,,1,2,
20,,,,,2,,,6,2,
21,,,,,3,,,1,2,
22,,,,,4,,,5,1,
23,,,,,2,,,7,1,
24,,,,,6,,,2,3,
25,,,,,3,,,5,5,
26,,,,,7,,,8,3,
27,,,,,4,,,1,3,
28,,,,,1,,,1,1,
29,,,,,1,,,3,1,
30,,,,,3,,,4,6,
