,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,6,,,3,4,
2,,,,,6,,,3,2,
3,,,,,5,,,4,7,
4,,,,,6,,,6,4,
5,,,,,2,,,7,4,
6,,,,,5,,,7,5,
7,,,,,4,,,7,5,
8,,,,,8,,,6,3,
9,,,,,4,,,8,4,
10,,,,,3,,,3,4,
11,,,,,1,,,4,3,
12,,,,,3,,,7,6,
13,,,,,1,,,6,4,
14,,,,,3,,,6,2,
15,,,,,4,,,3,5,
16,,,,,6,,,6,4,
17,,,,,7,,,6,6,
18,,,,,8,,,8,2,
19,,,,,6,,,3,6,
20,,,,,7,,,7,2,
21,,,,,5,,,8,6,
22,,,,,7,,,5,2,
23,,,,,4,,,6,3,
24,,,,,6,,,5,4,
25,,,,,4,,,5,6,
26,,,,,3,,,5,6,
27,,,,,4,,,2,7,
28,,,,,2,,,2,3,
29,,,,,1,,,5,3,
30,,,,,6,,,5,9,
