,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,3,,,1,4,
2,,,,,5,,,1,6,
3,,,,,5,,,1,7,
4,,,,,6,,,1,8,
5,,,,,3,,,7,5,
6,,,,,2,,,7,5,
7,,,,,3,,,4,4,
8,,,,,8,,,3,6,
9,,,,,5,,,8,2,
10,,,,,3,,,1,3,
11,,,,,1,,,2,1,
12,,,,,1,,,6,6,
13,,,,,1,,,4,6,
14,,,,,4,,,2,2,
15,,,,,2,,,1,5,
16,,,,,3,,,7,1,
17,,,,,2,,,3,4,
18,,,,,7,,,6,3,
19,,,,,4,,,1,2,
20,,,,,3,,,5,1,
21,,,,,2,,,7,7,
22,,,,,5,,,7,3,
23,,,,,3,,,8,1,
24,,,,,6,,,6,5,
25,,,,,2,,,9,6,
26,,,,,4,,,5,5,
27,,,,,3,,,1,6,
28,,,,,2,,,1,3,
29,,,,,1,,,5,4,
30,,,,,7,,,4,8,
