,Digit,,,,,,,,,
Pair Index,0,1,2,3,4,5,6,7,8,9
1,,,,,7,,,5,5,
2,,,,,8,,,5,5,
3,,,,,5,,,5,5,
4,,,,,4,,,4,3,
5,,,,,8,,,3,3,
6,,,,,6,,,3,5,
7,,,,,7,,,9,6,
8,,,,,1,,,4,9,
9,,,,,1,,,9,4,
10,,,,,2,,,2,4,
11,,,,,1,,,6,3,
12,,,,,8,,,8,7,
13,,,,,2,,,5,4,
14,,,,,3,,,8,4,
15,,,,,2,,,4,5,
16,,,,,7,,,8,3,
17,,,,,5,,,8,6,
18,,,,,8,,,8,3,
19,,,,,9,,,3,7,
20,,,,,4,,,6,4,
21,,,,,8,,,8,4,
22,,,,,5,,,4,4,
23,,,,,8,,,8,4,
24,,,,,8,,,6,4,
25,,,,,3,,,6,8,
26,,,,,3,,,4,8,
27,,,,,2,,,4,7,
28,,,,,7,,,4,3,
29,,,,,9,,,3,8,
30,,,,,3,,,2,8,
