batch_size,layers,dropout_rate,n_filters,filter_size,fc_units,epoch,train_time,test_loss,accuracy
100,1,0.2,10,5,50,5,0 days 00:02:05.992056000,0.11152771551012992,0.967
100,1,0.2,10,5,50,10,0 days 00:06:25.373995000,0.05182994064688683,0.98445
100,1,0.2,10,5,50,15,0 days 00:12:51.666252000,0.03613278897404671,0.9893
100,1,0.2,10,5,100,5,0 days 00:02:05.922986000,0.10616900170445442,0.9695
100,1,0.2,10,5,100,10,0 days 00:06:20.827385000,0.05001516727209091,0.98545
100,1,0.2,10,5,100,15,0 days 00:12:48.673449000,0.03253963649272919,0.9903
100,1,0.2,16,5,50,5,0 days 00:02:05.554946000,0.11809860357046127,0.965025
100,1,0.2,16,5,50,10,0 days 00:06:24.552278000,0.05147449763417244,0.984525
100,1,0.2,16,5,50,15,0 days 00:12:49.828400000,0.03325027249455452,0.990175
100,1,0.2,16,5,100,5,0 days 00:02:08.616575000,0.1010366412639618,0.97075
100,1,0.2,16,5,100,10,0 days 00:06:28.439781000,0.048539085829257964,0.9856
100,1,0.2,16,5,100,15,0 days 00:12:59.552775000,0.03353473420143127,0.9896
100,1,0.5,10,5,50,5,0 days 00:02:06.475673000,0.1339512494802475,0.959775
100,1,0.5,10,5,50,10,0 days 00:06:30.579956000,0.06395751434564591,0.9812
100,1,0.5,10,5,50,15,0 days 00:13:00.028870000,0.042850310575962065,0.98715
100,1,0.5,10,5,100,5,0 days 00:02:03.779714000,0.12051446762681008,0.96495
100,1,0.5,10,5,100,10,0 days 00:06:24.772663000,0.05746502539515495,0.98295
100,1,0.5,10,5,100,15,0 days 00:12:49.730153000,0.03596333495974541,0.989375
100,1,0.5,16,5,50,5,0 days 00:02:03.868444000,0.12093137002587319,0.963725
100,1,0.5,16,5,50,10,0 days 00:06:20.431367000,0.05465751022696495,0.98305
100,1,0.5,16,5,50,15,0 days 00:12:41.980282000,0.0377274271607399,0.98825
100,1,0.5,16,5,100,5,0 days 00:02:03.594705000,0.11642579641342163,0.965475
100,1,0.5,16,5,100,10,0 days 00:06:20.638831000,0.05093615632653237,0.9849
100,1,0.5,16,5,100,15,0 days 00:12:42.285873000,0.032236705261468886,0.99005
100,1,0.75,10,5,50,5,0 days 00:02:03.045819000,0.19283187764883042,0.944575
100,1,0.75,10,5,50,10,0 days 00:06:20.194948000,0.07754961041212081,0.97655
100,1,0.75,10,5,50,15,0 days 00:12:40.504309000,0.05354716277718544,0.983375
100,1,0.75,10,5,100,5,0 days 00:02:02.121999000,0.14794662410020828,0.956575
100,1,0.75,10,5,100,10,0 days 00:06:16.907098000,0.07018438920974732,0.979175
100,1,0.75,10,5,100,15,0 days 00:12:36.392379000,0.04591366134285927,0.986175
100,1,0.75,16,5,50,5,0 days 00:02:03.776544000,0.1627758020043373,0.954975
100,1,0.75,16,5,50,10,0 days 00:06:21.931477000,0.06714236027002335,0.98055
100,1,0.75,16,5,50,15,0 days 00:12:46.420477000,0.04752305604219437,0.98625
100,1,0.75,16,5,100,5,0 days 00:02:04.731605000,0.14050015877485275,0.95825
100,1,0.75,16,5,100,10,0 days 00:06:17.928099000,0.06328541467189788,0.98145
100,1,0.75,16,5,100,15,0 days 00:12:40.659287000,0.04123062124848366,0.987725
100,2,0.2,10,5,50,5,0 days 00:02:02.901640000,0.08438724277615547,0.974975
100,2,0.2,10,5,50,10,0 days 00:06:18.589014000,0.03923288688659668,0.9875
100,2,0.2,10,5,50,15,0 days 00:12:40.604203000,0.027679404193162917,0.991525
100,2,0.2,10,5,100,5,0 days 00:02:04.609763000,0.08446198795437813,0.97395
100,2,0.2,10,5,100,10,0 days 00:06:17.530117000,0.042930639719963075,0.986525
100,2,0.2,10,5,100,15,0 days 00:12:39.940715000,0.029465536391735075,0.99065
100,2,0.2,16,5,50,5,0 days 00:02:03.405398000,0.07407013709545135,0.97735
100,2,0.2,16,5,50,10,0 days 00:06:18.766980000,0.0382734667301178,0.988275
100,2,0.2,16,5,50,15,0 days 00:12:42.133719000,0.02724303795993328,0.991825
100,2,0.2,16,5,100,5,0 days 00:02:04.342947000,0.08325466726422309,0.97495
100,2,0.2,16,5,100,10,0 days 00:06:19.513324000,0.03924945057630539,0.98735
100,2,0.2,16,5,100,15,0 days 00:12:43.050437000,0.026466309627890587,0.991425
100,2,0.5,10,5,50,5,0 days 00:02:03.903972000,0.08727346488237381,0.972725
100,2,0.5,10,5,50,10,0 days 00:06:18.584534000,0.046725234287977216,0.985975
100,2,0.5,10,5,50,15,0 days 00:12:44.727399000,0.03318431247770786,0.989375
